,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
45,44,Arizona,P12,17-9,+16.62,114.0,97.3,68.1,-.017,106.9,98.5,1112.0
46,45,Utah St.,MWC,18-7,+16.56,106.8,90.3,69.5,-.031,104.0,100.6,1429.0
47,46,Kentucky,SEC,9-15,+16.54,108.5,91.9,68.4,-.135,110.6,94.1,1246.0
48,47,Virginia Tech,ACC,15-5,+16.53,110.8,94.2,66.1,+.087,107.0,99.0,1439.0
49,48,Missouri,SEC,15-8,+16.51,112.0,95.5,68.8,+.094,109.9,95.2,1281.0
50,49,Saint Louis,A10,14-6,+16.44,111.6,95.1,67.9,-.017,104.4,99.7,1387.0
51,50,Mississippi,SEC,15-10,+15.96,106.4,90.5,65.4,-.041,107.3,97.6,1279.0
52,51,Syracuse,ACC,15-8,+15.88,112.9,97.0,69.4,+.040,108.0,97.4,1393.0
53,52,Louisville,ACC,13-6,+15.88,109.4,93.5,66.1,+.135,109.4,96.9,1257.0
54,53,Seton Hall,BE,13-12,+15.85,111.8,95.9,67.1,-.030,109.6,95.9,1371.0
55,54,SMU,Amer,11-4,+15.71,111.2,95.5,68.7,+.056,104.0,96.9,1374.0
56,55,Michigan St.,B10,15-11,+15.54,108.3,92.8,68.5,+.117,112.7,95.0,1277.0
57,56,Drake,MVC,25-4,+15.52,114.6,99.0,66.9,+.095,102.9,101.3,1179.0
58,57,Boise St.,MWC,18-7,+15.03,109.6,94.5,69.4,-.009,104.4,100.4,1129.0
59,58,Toledo,MAC,20-7,+14.92,115.8,100.9,68.9,-.020,104.2,102.2,1405.0
60,59,Xavier,BE,13-7,+14.88,110.6,95.7,68.9,+.030,108.5,98.2,1462.0
61,60,Davidson,A10,13-8,+14.88,114.9,100.0,63.1,-.076,104.4,98.1,1172.0
62,61,Colorado St.,MWC,17-5,+14.60,109.4,94.8,70.1,+.041,103.1,101.2,1161.0
63,62,Minnesota,B10,13-14,+14.49,111.0,96.5,69.9,+.012,111.4,94.4,1278.0
64,63,St. John's,BE,16-10,+14.13,112.7,98.5,73.8,+.024,107.4,97.0,1385.0
65,64,Auburn,SEC,13-14,+14.12,112.2,98.0,71.4,-.044,108.8,95.2,1120.0
66,65,N.C. State,ACC,13-9,+13.93,110.2,96.3,68.4,-.001,108.4,98.6,1301.0
67,66,Wright St.,Horz,18-6,+13.76,109.3,95.5,71.5,-.078,102.9,106.1,1460.0
68,67,Notre Dame,ACC,10-14,+13.71,114.9,101.2,67.6,-.075,110.9,96.7,1323.0
69,68,Richmond,A10,13-8,+13.69,111.3,97.7,69.0,-.045,106.5,98.1,1350.0
70,69,Northwestern,B10,9-14,+13.39,107.1,93.7,68.9,-.079,113.4,93.6,1321.0
