,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
78,77,Mississippi,SEC,18-11,+9.15,110.9,101.8,71.7,+.070,108.3,101.7,1279.0
79,78,Colorado,P12,16-13,+9.04,111.5,102.5,68.2,-.054,108.5,103.6,1160.0
80,79,Monmouth,MAAC,26-5,+8.81,109.4,100.6,72.6,+.102,103.8,106.5,1284.0
81,80,Bucknell,Pat,23-8,+8.81,110.2,101.3,69.9,+.011,101.9,105.5,1137.0
84,81,Penn St.,B10,14-16,+8.48,105.3,96.8,71.3,-.024,109.1,100.1,1336.0
85,82,Auburn,SEC,17-12,+8.45,111.1,102.6,74.4,+.074,108.8,101.0,1120.0
86,83,San Diego St.,MWC,16-12,+8.44,105.8,97.4,65.2,-.101,105.2,104.1,1361.0
87,84,Belmont,OVC,22-5,+8.32,111.3,103.0,68.6,+.081,104.3,106.7,1125.0
88,85,Memphis,Amer,18-11,+8.08,108.0,99.9,68.6,-.027,105.0,103.4,1272.0
89,86,Connecticut,Amer,14-14,+8.04,106.1,98.1,64.6,-.055,108.4,101.8,1163.0
90,87,College of Charleston,CAA,23-8,+7.89,106.6,98.7,64.6,+.064,106.2,106.3,1158.0
91,88,St. John's,BE,13-17,+7.87,109.7,101.8,73.5,-.066,110.4,100.9,1385.0
92,89,Davidson,A10,15-13,+7.73,108.7,101.0,69.0,-.051,106.9,103.3,1172.0
93,90,Louisiana Tech,CUSA,21-9,+7.65,108.5,100.9,69.2,-.070,101.3,106.5,1256.0
94,91,Colorado St.,MWC,21-9,+7.47,108.1,100.6,66.0,+.029,104.7,104.3,1161.0
95,92,St. Bonaventure,A10,18-11,+7.38,110.5,103.2,69.3,-.036,105.7,105.3,1382.0
96,93,Nebraska,B10,12-16,+7.31,106.2,98.8,68.3,+.008,111.9,100.2,1304.0
97,94,Richmond,A10,17-11,+7.12,107.8,100.7,70.5,+.015,106.5,103.4,1350.0
98,95,Valparaiso,Horz,24-7,+6.99,108.7,101.7,67.7,+.075,103.3,106.4,1434.0
99,96,Stanford,P12,14-14,+6.99,104.5,97.6,69.4,+.010,110.1,101.8,1390.0
100,97,Loyola Chicago,MVC,18-13,+6.87,110.6,103.8,65.8,-.094,104.3,104.4,1260.0
101,98,UNC Asheville,BSth,23-8,+6.76,107.9,101.2,68.3,+.036,102.7,107.1,1421.0
102,99,Mississippi St.,SEC,14-15,+6.50,107.1,100.6,69.4,-.039,106.7,100.8,1280.0
103,100,Boise St.,MWC,18-10,+6.34,109.1,102.7,69.6,+.024,106.3,103.8,1129.0
104,101,Ohio,MAC,18-10,+6.06,106.8,100.7,70.9,-.076,104.7,107.0,1325.0
